English_title,Year,Dir_or_prod,Studio,Award_mains,Mains_cat,Award_fest,Fest_cat,Production_country,Director,Film_Studio
Sunrise: A Song of Two Humans,1927-01-01 00:00:00,Charles Rosher Karl Struss,Famous Players–Lasky ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Devil Dancer,1927-01-01 00:00:00,George Barnes,Fox ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Magic Flame,1927-01-01 00:00:00,George Barnes,The Caddo Company ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Sadie Thompson,1927-01-01 00:00:00,George Barnes,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
White Shadows in the South Seas,1928-01-01 00:00:00,Clyde De Vinna,Feature Productions ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Divine Lady,1928-01-01 00:00:00,John F. Seitz,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
4 Devils,1928-01-01 00:00:00,Ernest Palmer,Fox ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
In Old Arizona,1928-01-01 00:00:00,Arthur Edeson,Paramount Famous Lasky,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Our Dancing Daughters,1928-01-01 00:00:00,George Barnes,Universal ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Street Angel,1928-01-01 00:00:00,Ernest Palmer,Cosmopolitan ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
With Byrd at the South Pole,1929-01-01 00:00:00,Joseph T. Rucker and Willard Van der Veer,Warner Bros. ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
All Quiet on the Western Front,1929-01-01 00:00:00,Arthur Edeson,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Anna Christie,1929-01-01 00:00:00,William H. Daniels,Paramount Famous Lasky ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Hell's Angels,1929-01-01 00:00:00,Tony Gaudio and Harry Perry,RKO Radio ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Love Parade,1929-01-01 00:00:00,Victor Milner,Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Tabu: A Story of the South Seas,1930-01-01 00:00:00,Floyd Crosby,The Caddo Company ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Cimarron,1930-01-01 00:00:00,Edward Cronjager,Paramount Publix ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Morocco,1930-01-01 00:00:00,Lee Garmes,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Right to Love,1930-01-01 00:00:00,Charles Lang,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Svengali,1930-01-01 00:00:00,Barney McGill,Samuel Goldwyn Productions ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Shanghai Express,1931-01-01 00:00:00,Lee Garmes,Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Arrowsmith,1931-01-01 00:00:00,Ray June,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Dr. Jekyll and Mr. Hyde,1931-01-01 00:00:00,Karl Struss,First National ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
A Farewell to Arms,1932-01-01 00:00:00,Charles Lang,Paramount Publix ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Reunion in Vienna,1932-01-01 00:00:00,George Folsey,Paramount Publix ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Sign of the Cross,1932-01-01 00:00:00,Karl Struss,Paramount Publix ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Cleopatra,1934-01-01 00:00:00,Victor Milner,Fox ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Affairs of Cellini,1934-01-01 00:00:00,Charles Rosher,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Operator 13,1934-01-01 00:00:00,George Folsey,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
A Midsummer Night's Dream,1935-01-01 00:00:00,Hal Mohr [note 2],Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Barbary Coast,1935-01-01 00:00:00,Ray June,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Crusades,1935-01-01 00:00:00,Victor Milner,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Les Misérables,1935-01-01 00:00:00,Gregg Toland,London Films,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1936-01-01 00:00:00,Black-and-White,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Anthony Adverse,1936-01-01 00:00:00,Tony Gaudio,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The General Died at Dawn,1936-01-01 00:00:00,Victor Milner,Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Gorgeous Hussy,1936-01-01 00:00:00,George Folsey,Columbia ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color (Special Achievement),1936-01-01 00:00:00,Color (Special Achievement),Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Garden of Allah,1936-01-01 00:00:00,W. Howard Greene and Harold Rosson,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1937-01-01 00:00:00,Black-and-White,First National,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Good Earth,1937-01-01 00:00:00,Karl Freund,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Dead End,1937-01-01 00:00:00,Gregg Toland,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Wings over Honolulu,1937-01-01 00:00:00,Joseph Valentine,20th Century,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color (Special Achievement),1937-01-01 00:00:00,Color (Special Achievement),Universal,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
A Star Is Born,1937-01-01 00:00:00,W. Howard Greene,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1938-01-01 00:00:00,Black-and-White,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Great Waltz,1938-01-01 00:00:00,Joseph Ruttenberg,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Algiers,1938-01-01 00:00:00,James Wong Howe,Jesse L. Lasky ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Army Girl,1938-01-01 00:00:00,Ernest Miller and Harry J. Wild,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Buccaneer,1938-01-01 00:00:00,Victor Milner,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Jezebel,1938-01-01 00:00:00,Ernest Haller,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Mad About Music,1938-01-01 00:00:00,Joseph Valentine,Cosmopolitan,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Merrily We Live,1938-01-01 00:00:00,Norbert Brodine,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Suez,1938-01-01 00:00:00,J. Peverell Marley,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Vivacious Lady,1938-01-01 00:00:00,Robert De Grasse,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
You Can't Take It with You,1938-01-01 00:00:00,Joseph Walker,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Young in Heart,1938-01-01 00:00:00,Leon Shamroy,20th Century,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color (Special Achievement),1938-01-01 00:00:00,Color (Special Achievement),Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Sweethearts,1938-01-01 00:00:00,Oliver T. Marsh and Allen Davey,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White [note 3][9],1939-01-01 00:00:00,Black-and-White [note 3][9],RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Wuthering Heights,1939-01-01 00:00:00,Gregg Toland,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Stagecoach,1939-01-01 00:00:00,Bert Glennon,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color [note 4][9],1939-01-01 00:00:00,Color [note 4][9],Samuel Goldwyn Productions ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Gone with the Wind,1939-01-01 00:00:00,Ernest Haller and Ray Rennahan,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Private Lives of Elizabeth and Essex,1939-01-01 00:00:00,Sol Polito and W. Howard Greene,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1940-01-01 00:00:00,Black-and-White,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Rebecca,1940-01-01 00:00:00,George Barnes,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Abe Lincoln in Illinois,1940-01-01 00:00:00,James Wong Howe,Cosmopolitan,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
"All This, and Heaven Too",1940-01-01 00:00:00,Ernest Haller,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
"Arise, My Love",1940-01-01 00:00:00,Charles Lang,Universal,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Boom Town,1940-01-01 00:00:00,Harold Rosson,Warner Bros. ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Foreign Correspondent,1940-01-01 00:00:00,Rudolph Maté,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Letter,1940-01-01 00:00:00,Tony Gaudio,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Long Voyage Home,1940-01-01 00:00:00,Gregg Toland,Samuel Goldwyn Productions ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Spring Parade,1940-01-01 00:00:00,Joseph Valentine,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Waterloo Bridge,1940-01-01 00:00:00,Joseph Ruttenberg,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color,1940-01-01 00:00:00,Color,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Thief of Bagdad,1940-01-01 00:00:00,Georges Périnal,Universal,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Bitter Sweet,1940-01-01 00:00:00,Oliver T. Marsh and Allen M. Davey,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Blue Bird,1940-01-01 00:00:00,Arthur C. Miller and Ray Rennahan,Selznick International Pictures,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Down Argentine Way,1940-01-01 00:00:00,Leon Shamroy and Ray Rennahan,Columbia ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
North West Mounted Police,1940-01-01 00:00:00,Victor Milner and W. Howard Greene,Warner Bros.-First National,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Northwest Passage,1940-01-01 00:00:00,Sidney Wagner and William V. Skall,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1941-01-01 00:00:00,Black-and-White,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
How Green Was My Valley,1941-01-01 00:00:00,Arthur C. Miller,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Chocolate Soldier,1941-01-01 00:00:00,Karl Freund,Warner Bros.-First National,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Citizen Kane,1941-01-01 00:00:00,Gregg Toland,Réalisation d'art Cinématographique,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Dr. Jekyll and Mr. Hyde,1941-01-01 00:00:00,Joseph Ruttenberg,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Here Comes Mr. Jordan,1941-01-01 00:00:00,Joseph Walker,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Hold Back the Dawn,1941-01-01 00:00:00,Leo Tover,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Sergeant York,1941-01-01 00:00:00,Sol Polito,Selznick International Pictures ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Sun Valley Serenade,1941-01-01 00:00:00,Edward Cronjager,Warner Bros.-First National,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Sundown,1941-01-01 00:00:00,Charles Lang,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
That Hamilton Woman,1941-01-01 00:00:00,Rudolph Maté,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color,1941-01-01 00:00:00,Color,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Blood and Sand,1941-01-01 00:00:00,Ernest Palmer and Ray Rennahan,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Aloma of the South Seas,1941-01-01 00:00:00,"Wilfred M. Cline, Karl Struss and William E. Snyder",Hal Roach ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Billy the Kid,1941-01-01 00:00:00,William V. Skall and Leonard Smith,Walter Wanger ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Blossoms in the Dust,1941-01-01 00:00:00,Karl Freund and W. Howard Greene,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Dive Bomber,1941-01-01 00:00:00,Bert Glennon,Samuel Goldwyn Productions,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Louisiana Purchase,1941-01-01 00:00:00,Harry Hallenberger and Ray Rennahan,Selznick International Pictures ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1942-01-01 00:00:00,Black-and-White,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Mrs. Miniver,1942-01-01 00:00:00,Joseph Ruttenberg,Walter Wanger ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Kings Row,1942-01-01 00:00:00,James Wong Howe,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Magnificent Ambersons,1942-01-01 00:00:00,Stanley Cortez,Charles Chaplin Productions,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Moontide,1942-01-01 00:00:00,Charles G. Clarke,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Pied Piper,1942-01-01 00:00:00,Edward Cronjager,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Pride of the Yankees,1942-01-01 00:00:00,Rudolph Maté,Argosy-Wanger,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
"Take a Letter, Darling",1942-01-01 00:00:00,John J. Mescall,Sol Lesser ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Talk of the Town,1942-01-01 00:00:00,Ted Tetzlaff,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Ten Gentlemen from West Point,1942-01-01 00:00:00,Leon Shamroy,20th Century-Fox ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
This Above All,1942-01-01 00:00:00,Arthur C. Miller,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color,1942-01-01 00:00:00,Color,Mercury,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Black Swan,1942-01-01 00:00:00,Leon Shamroy,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Arabian Nights,1942-01-01 00:00:00,"Milton Krasner, William V. Skall and W. Howard Greene",Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Captains of the Clouds,1942-01-01 00:00:00,Sol Polito,Samuel Goldwyn Productions ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Jungle Book,1942-01-01 00:00:00,W. Howard Greene,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Reap the Wild Wind,1942-01-01 00:00:00,Victor Milner and William V. Skall,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
To the Shores of Tripoli,1942-01-01 00:00:00,Edward Cronjager and William V. Skall,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1943-01-01 00:00:00,Black-and-White,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Song of Bernadette,1943-01-01 00:00:00,Arthur C. Miller,Metro-Goldwyn-Mayer ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Air Force,1943-01-01 00:00:00,"James Wong Howe, Elmer Dyer and Charles A. Marshall",Ortus,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Casablanca,1943-01-01 00:00:00,Arthur Edeson,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Corvette K-225,1943-01-01 00:00:00,Tony Gaudio,Mercury,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Five Graves to Cairo,1943-01-01 00:00:00,John F. Seitz,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Human Comedy,1943-01-01 00:00:00,Harry Stradling,Samuel Goldwyn Productions ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Madame Curie,1943-01-01 00:00:00,Joseph Ruttenberg,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The North Star,1943-01-01 00:00:00,James Wong Howe,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Sahara,1943-01-01 00:00:00,Rudolph Maté,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
So Proudly We Hail!,1943-01-01 00:00:00,Charles Lang,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color,1943-01-01 00:00:00,Color,Warner Bros. ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Phantom of the Opera,1943-01-01 00:00:00,Hal Mohr and W. Howard Greene,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
For Whom the Bell Tolls,1943-01-01 00:00:00,Ray Rennahan,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Heaven Can Wait,1943-01-01 00:00:00,Edward Cronjager,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
"Hello, Frisco, Hello",1943-01-01 00:00:00,Charles G. Clarke and Allen M. Davey,Two Cities Films,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Lassie Come Home,1943-01-01 00:00:00,Leonard Smith,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Thousands Cheer,1943-01-01 00:00:00,George Folsey,Columbia,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1944-01-01 00:00:00,Black-and-White,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Laura,1944-01-01 00:00:00,Joseph LaShelle,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Double Indemnity,1944-01-01 00:00:00,John F. Seitz,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Dragon Seed,1944-01-01 00:00:00,Sidney Wagner,Paramount ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Gaslight,1944-01-01 00:00:00,Joseph Ruttenberg,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Going My Way,1944-01-01 00:00:00,Lionel Lindon,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Lifeboat,1944-01-01 00:00:00,Glen MacWilliams,Selznick International Pictures ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Since You Went Away,1944-01-01 00:00:00,Stanley Cortez and Lee Garmes,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Thirty Seconds Over Tokyo,1944-01-01 00:00:00,Robert Surtees and Harold Rosson,Paramount ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Uninvited,1944-01-01 00:00:00,Charles Lang,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The White Cliffs of Dover,1944-01-01 00:00:00,George Folsey,Rainbow Productions,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color,1944-01-01 00:00:00,Color,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Wilson,1944-01-01 00:00:00,Leon Shamroy,Selznick International Pictures ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Cover Girl,1944-01-01 00:00:00,Rudolph Maté and Allen M. Davey,Samuel Goldwyn Productions ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Home in Indiana,1944-01-01 00:00:00,Edward Cronjager,Two Cities Films,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Kismet,1944-01-01 00:00:00,Charles Rosher,Liberty Films,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Lady in the Dark,1944-01-01 00:00:00,Ray Rennahan,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Meet Me in St. Louis,1944-01-01 00:00:00,George Folsey,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1945-01-01 00:00:00,Black-and-White,20th Century-Fox ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Picture of Dorian Gray,1945-01-01 00:00:00,Harry Stradling,Samuel Goldwyn Productions ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Keys of the Kingdom,1945-01-01 00:00:00,Arthur C. Miller,RKO Radio,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Lost Weekend,1945-01-01 00:00:00,John F. Seitz,J. Arthur Rank-Cineguild,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Mildred Pierce,1945-01-01 00:00:00,Ernest Haller,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Spellbound,1945-01-01 00:00:00,George Barnes,J. Arthur Rank-Two Cities Films ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color,1945-01-01 00:00:00,Color,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Leave Her to Heaven,1945-01-01 00:00:00,Leon Shamroy,J. Arthur Rank-Archers,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Anchors Aweigh,1945-01-01 00:00:00,Robert H. Planck and Charles P. Boyle,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
National Velvet,1945-01-01 00:00:00,Leonard Smith,Warner Bros.,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
A Song to Remember,1945-01-01 00:00:00,Tony Gaudio and Allen M. Davey,Columbia ,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Spanish Main,1945-01-01 00:00:00,George Barnes,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1946-01-01 00:00:00,Black-and-White,Paramount,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Anna and the King of Siam,1946-01-01 00:00:00,Arthur C. Miller,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Green Years,1946-01-01 00:00:00,George Folsey,20th Century-Fox,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color,1946-01-01 00:00:00,Color,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Yearling,1946-01-01 00:00:00,"Charles Rosher, Leonard Smith and Arthur Arling",,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Jolson Story,1946-01-01 00:00:00,Joseph Walker,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1947-01-01 00:00:00,Black-and-White,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Great Expectations,1947-01-01 00:00:00,Guy Green,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Green Dolphin Street,1947-01-01 00:00:00,George Folsey,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Ghost and Mrs. Muir,1947-01-01 00:00:00,Charles Lang,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color,1947-01-01 00:00:00,Color,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black Narcissus,1947-01-01 00:00:00,Jack Cardiff,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Life with Father,1947-01-01 00:00:00,J. Peverell Marley and William V. Skall,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Mother Wore Tights,1947-01-01 00:00:00,Harry Jackson,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1948-01-01 00:00:00,Black-and-White,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Naked City,1948-01-01 00:00:00,William Daniels,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
A Foreign Affair,1948-01-01 00:00:00,Charles Lang,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
I Remember Mama,1948-01-01 00:00:00,Nicholas Musuraca,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Johnny Belinda,1948-01-01 00:00:00,Ted McCord,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Portrait of Jennie,1948-01-01 00:00:00,Joseph August (posthumously),,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color,1948-01-01 00:00:00,Color,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Joan of Arc,1948-01-01 00:00:00,"Joseph Valentine, William V. Skall and Winton C. Hoch",,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Green Grass of Wyoming,1948-01-01 00:00:00,Charles G. Clarke,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Loves of Carmen,1948-01-01 00:00:00,William E. Snyder,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Three Musketeers,1948-01-01 00:00:00,Robert H. Planck,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Black-and-White,1949-01-01 00:00:00,Black-and-White,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Battleground,1949-01-01 00:00:00,Paul C. Vogel,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Champion,1949-01-01 00:00:00,Franz Planer,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Come to the Stable,1949-01-01 00:00:00,Joseph LaShelle,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
The Heiress,1949-01-01 00:00:00,Leo Tover,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Prince of Foxes,1949-01-01 00:00:00,Leon Shamroy,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
Color,1949-01-01 00:00:00,Color,,1,Oscar - Best Cinematography - Winner or Nominee,0,,,,
